"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.223058133218786","2.05548592827715","0.186907630522088","17.063550036523","21.1851377322229","-3.85780885780885","-1.65549252191851","-5.8744394618834","-0.418781725888323","6.16194331983805","12.9139314369073","6.81314994968126","27.1368352788586","-6.82872717296655","-14.0750555726085","16.9490560127573","7.81642871198372","-4.68763897846137","-8.8049356352136","8.92046662114826","-17.5903165005138","0.664175810874169","-0.41563759901472","7.61167220218675","18.5057800383246","-12.0331802180755","9.97445509242152","7.46525460335849","-0.907264204095971","0.92339797912293","5.25337330818787","4.39982167334799","-2.21528256776249","6.4897764502147","4.5587150204386","7.56707186414171","-3.76748278825272","",
"Africa Eastern and Southern","AFE","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","1.032510148411","0.765922798167324","0.42278121555281","0.254926361548257","1.13543575260289","0.352354120998614","0.506462032055052","0.0622408139176199","0.136599124230146","-0.0120568986981817","0.28258884420854","0.211011201643833","0.341443827021674","0.0473933983276776","0.371551641940924","0.0736997175646326","0.264570122528588","0.149220731390706","0.26614554214004","0.186701072957427","0.0338779130440141","0.483397927426944","0.276092884944452","0.356957052254242","0.498139631902422","0.996373478388483","0.781602504551414","2.04505843684195","1.57045923948206","2.40566562236243","1.53378731929451","4.77398518281158","2.47180136206567","2.46078279987817","1.84013977951818","2.04187001238741","1.27283831419437","2.47277481287161","3.21687232083887","2.62839053800453","1.66923224413788","1.88480544157356","2.58808533640911","2.23972092504117","2.83188769885472","3.1946062088675","2.01991014841063","1.06252891194741","1.33888008652008","1.49531596058937","1.4292479399789","5.04060366472093","1.77772732979735","1.88724302281709","2.03587461991697",
"Afghanistan","AFG","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00482760061734038","0.0241685679088889","1.30694987042884","1.27849325196424","3.577104200584","4.36867310434287","3.41377297323201","1.93570171391636","0.45536044478174","0.45188914562189","1.20311798981139","0.293025179616803","0.285440893554571","0.239801184405551","0.209664794672203","0.88400046336123","0.516606084523093","0.274796791572807","0.661572217787196","0.124495985291258","0.0649939571808755","0.144466946606861","","","",
"Africa Western and Central","AFW","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","1.78379057595468","1.88406226639229","1.90750274520258","1.75655357704818","1.0506229074981","1.69519313804601","0.890523516234443","1.08654624794356","0.959248926428699","0.813937679498483","-0.189816836786525","0.541731372153382","0.448417512698604","0.50800365657296","0.258311344023077","0.648476864286674","0.187143245926892","0.924280885260503","0.875345483545118","2.47188337343981","0.867590633313848","0.644636422232402","0.974829786182035","1.35504625647509","1.77325025583384","0.456338408314366","0.450293415130777","0.588387281181905","0.640878536100313","1.71440936769615","1.80110695968237","2.14872136698122","2.4575047738131","2.5328714906319","1.79982553129015","2.92596422401891","2.28502683431834","2.76343843421139","2.83752282531955","3.52292159069168","3.14872939145213","3.54478916680137","2.79533976156852","2.26930763909529","1.83619978004613","2.13330026745199","2.23535717738054","2.5563565392687","1.91395252041951","1.51222998785571","1.36254172855046","1.98293379035763","1.84104846388099","2.4619367236606","2.80023928982099",
"Angola","AGO","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","0.630975103967161","0.883706869873758","2.08648507255308","1.80366249575565","1.09500567622465","3.68013758032242","3.30857271569459","1.4719684486904","1.49375642275957","1.9604420096587","-2.98142869155218","6.26663053571429","3.46608752793541","5.2368632542517","3.83703655802979","8.52948883994992","2.39900196315229","5.38231611756009","17.1216116785351","40.1672485630423","9.62386615038711","24.0090757001341","11.4061919077418","20.0810144391158","9.32923929577731","-3.52665717856752","-0.072000996349673","-1.36876239523004","1.89631389674864","3.13666068307167","-3.85111149953586","-2.70487323645008","-1.14376777921662","-5.38013099536349","2.69000564690096","11.0813390258994","-0.340242828705014","-10.0383767819736","-8.12589110876485","-5.78081314286634","-3.84826398729862","-6.54854227564071","-6.32056384328187","-2.49735273623951","-1.38023047410097",
"Albania","ALB","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","","","3.06666159864896","4.89321210624299","2.81772379080922","2.40956158210409","2.78560468452093","2.07092049927343","1.73091617857629","1.25458994529204","3.9893207113692","5.10708868615592","2.99003115858884","3.06868730168473","4.60782278585291","3.17899814544722","3.55321913781567","5.86740351847628","9.40665320050491","10.9068201480963","9.01744998049889","8.08329285826067","7.49597513325321","9.80035898039468","8.64846635716115","8.62740636982337","8.71147225448456","7.71411336285186","7.83109146132114","7.70621465029911","7.01865301314463","6.75790721640837","7.57934158372429","6.88397728372429","6.29294339385323",
"Andorra","AND","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.3818111201207","9.43228927416706","14.582658336177","17.5702304956522","7.28597182142002","6.64266417344993",
"Arab World","ARB","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","1.20710216105069","0.113503332929264","0.465786647628289","-0.91075421538707","-2.31746117493243","0.905182105576342","0.196815759866518","0.391713554260965","0.247273478676978","-0.039874230627587","-0.680969293745436","1.48621538105406","2.63748176276712","1.3339225999575","1.46949169654655","0.481610663704809","0.592857226271773","0.00262999901338038","0.389205060932439","0.294517879407959","0.47861097007684","0.456407002407275","0.747655650030871","0.909600281660018","0.987831868733828","0.0581639572803142","0.641554218286587","1.46005354676729","1.61014813573947","0.458459032099599","0.503069487849338","1.195012239127","0.824962493790741","1.75833913913358","2.16476541440761","3.1681343640752","3.97118360315479","3.80340434197896","2.58732735207834","2.2218541513522","2.11787427562845","1.32084179374644","1.55429320277277","1.25365945953244","0.861860604573545","0.852309357648057","1.91280364753828","1.21382531064246","1.52593617405458","1.22669094008376","1.28751685960656","2.26287071293901","2.08549799267699","2.46773153601178","3.53254328825449",
"United Arab Emirates","ARE","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","1.13413277328363","0.738381451123935","0.742710555965243","0.0805909635459787","0.0139896073816407","0.108350617107457","0.257271594791379","0.451274583969912","0.164537297435794","0.20681708788172","0.223949268488845","-0.0343377746365328","0.203892014116107","0.106393607647695","0.407195240980733","-0.544187526835552","0.324685539041065","0.128404884092042","0.520707068990223","0.0935487850536073","-0.228435309603761","0.0503179637301319","0.239162943469002","0.72147194906954","0.105319789259975","0.608195467069962","0.408474866706161","0.294815985875101","0.340485312002994","-1.16683578609984","-0.485281532912816","1.14589216998935","0.0867813662286139","3.42266271097113","6.76715211324682","6.03481604123485","5.76543753223521","5.50043971722883","1.60487460715228","0.447367365845778","2.93040987377924","1.98210834163921","2.4873633631626","2.43989565804097","2.67360384793242","2.3093352254482","2.6011196907891","2.65141548152326","2.43186975978915","4.27633960124115","5.68984417329464","4.97788431407126","4.52260019471922","5.96882436854437","8.49629468237527",
"Argentina","ARG","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","0.28422429708083","0.377464477473511","0.206489502181284","0.190792478260042","0.0247388145324033","0.106009598269524","0.478175476632771","0.25360595928857","0.280742880870953","0.297462920191234","0.88095511006333","1.0638454401874","0.269252481027723","0.177920358938206","0.229226258869266","1.04253057681433","0.542162214587862","-0.0174614882944816","0.903930865567581","1.34151590594557","1.29887904052817","1.28557885422783","1.9367945155154","1.17980281165114","1.411953029158","2.17392758974997","2.55320340608332","3.12787793868196","2.43876896154487","8.46058217133802","3.66579059535379","0.806164134759348","2.19895819502207","1.29481086883944","2.5050175164097","2.64935441452167","2.38106854489628","2.25129423568361","2.68990096507093","1.20643922647566","2.67516171886535","2.04465997872008","2.80667189982932","1.77920553648531","0.962406650325519","1.97713461784426","0.584748941173009","1.78936504083806","2.23253157689253","1.48500687570697","1.26616924308721","1.36838083162438","2.40302244246396","3.83188895905263","1.83878197817",
